IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
977124,HiGALFil320.9261+0.2613,3.2045000e+24,4.0416000e+20,17.9290,2.32558,1.10010,Herschel,SPIRE
977126,HiGALFil320.1067+0.2586,1.9521000e+24,-1.5184000e+19,17.7150,1.96078,1.06860,Herschel,SPIRE
977134,HiGALFil316.5074+0.2694,7.8021000e+24,1.7700000e+21,17.0370,1.38889,1.34110,Herschel,SPIRE
977154,HiGALFil317.0445+0.2805,6.4854000e+24,2.0265000e+21,21.1980,2.00000,1.49640,Herschel,SPIRE
977160,HiGALFil315.3348+0.2709,1.7088000e+24,2.5992000e+19,17.5870,2.22222,1.00220,Herschel,SPIRE
977196,HiGALFil311.5915+0.2987,4.8184000e+25,1.0528000e+22,18.7050,1.56250,1.77730,Herschel,SPIRE
977205,HiGALFil318.4826+0.2786,4.5676000e+24,5.8271000e+20,17.1770,1.63934,1.11710,Herschel,SPIRE
977214,HiGALFil314.5207+0.2744,6.0228000e+24,1.6760000e+21,16.9070,2.38095,1.20950,Herschel,SPIRE
977217,HiGALFil312.3902+0.2617,4.1348000e+24,9.2119000e+20,17.9960,2.04082,1.15720,Herschel,SPIRE
977222,HiGALFil321.8436+0.2881,5.5663000e+24,7.2140000e+20,17.0000,1.49254,1.18340,Herschel,SPIRE
977242,HiGALFil309.0871+0.2758,2.4513000e+24,6.0125000e+20,19.8120,1.47059,1.20950,Herschel,SPIRE
977251,HiGALFil318.7220+0.3063,5.9406000e+24,4.7455000e+20,17.4440,2.43902,1.09820,Herschel,SPIRE
977252,HiGALFil316.7706+0.2895,7.1067000e+24,6.5363000e+20,18.5530,1.78571,1.14720,Herschel,SPIRE
977273,HiGALFil314.9573+0.2886,7.4436000e+24,1.2048000e+21,16.8150,1.56250,1.19250,Herschel,SPIRE
977284,HiGALFil322.1001+0.2847,3.7486000e+24,7.1537000e+20,16.8250,1.49254,1.36630,Herschel,SPIRE
977303,HiGALFil318.9506+0.2989,2.6963000e+24,3.1646000e+20,17.5780,2.12766,1.07290,Herschel,SPIRE
977304,HiGALFil318.1125+0.3020,3.9435000e+24,6.5795000e+20,16.9700,1.49254,1.22340,Herschel,SPIRE
977318,HiGALFil321.2869+0.2826,1.9117000e+24,2.3167000e+20,17.4780,2.04082,1.06340,Herschel,SPIRE
977323,HiGALFil318.3510+0.3035,7.2659000e+24,1.1565000e+21,17.0510,2.50000,1.26800,Herschel,SPIRE
977330,HiGALFil311.7129+0.3118,1.2328000e+25,2.6480000e+21,17.5800,2.00000,1.24260,Herschel,SPIRE
977339,HiGALFil320.7407+0.2955,3.3070000e+24,5.9344000e+20,18.9930,2.50000,1.13990,Herschel,SPIRE
977354,HiGALFil314.6696+0.2901,1.0246000e+25,1.8832000e+21,16.8410,2.27273,1.19990,Herschel,SPIRE
977356,HiGALFil313.1436+0.3088,4.2989000e+24,6.6723000e+20,18.3230,1.21951,1.12480,Herschel,SPIRE
977358,HiGALFil312.6669+0.3031,5.6336000e+24,6.8947000e+20,18.1100,1.96078,1.08270,Herschel,SPIRE
977371,HiGALFil320.9972+0.2922,2.4463000e+24,1.3186000e+20,17.7230,2.04082,1.05760,Herschel,SPIRE
977384,HiGALFil315.5334+0.3077,6.4257000e+24,5.9225000e+20,17.4310,3.12500,1.13350,Herschel,SPIRE
977394,HiGALFil318.6115+0.3092,4.9678000e+24,8.3240000e+20,17.1290,1.61290,1.21400,Herschel,SPIRE
977396,HiGALFil315.8599+0.3082,5.3913000e+24,1.1939000e+21,17.1860,1.81818,1.26200,Herschel,SPIRE
977400,HiGALFil313.5758+0.3218,1.5563000e+25,1.4054000e+21,18.1720,2.00000,1.23200,Herschel,SPIRE
977408,HiGALFil321.2719+0.3503,1.1968000e+25,1.0830000e+21,16.9830,1.51515,1.24460,Herschel,SPIRE
977434,HiGALFil317.8350+0.3587,1.6718000e+25,1.0525000e+21,16.7800,2.38095,1.29960,Herschel,SPIRE
977468,HiGALFil318.8308+0.3215,3.5379000e+24,3.9955000e+20,17.3740,1.72414,1.08630,Herschel,SPIRE
977473,HiGALFil317.2705+0.3323,5.2002000e+24,6.0699000e+20,19.6060,1.66667,1.13540,Herschel,SPIRE
977478,HiGALFil314.8263+0.3100,4.9993000e+24,1.1737000e+21,17.0790,1.53846,1.16910,Herschel,SPIRE
