IDSTAR,NAMESTAR,GLON_ST,GLAT_ST,FLUX_ST,TYPE_ST
25332,HIGALPS005.3524+0.1123,5.3523410,0.11233400,9.98555,PRESTELLAR
25344,HIGALPS005.3553+0.0937,5.3551200,0.093035000,33.8870,PRESTELLAR
25359,HIGALPS005.3586+0.6531,5.3585680,0.65314000,1.97006,PRESTELLAR
25363,HIGALPS005.3595+0.0142,5.3596320,0.013414000,54.0047,PROTOSTELLAR
25366,HIGALPS005.3596-0.3976,5.3601250,-0.39649900,8.84635,PRESTELLAR
25375,HIGALPS005.3613+0.1291,5.3606450,0.12826700,12.3332,PROTOSTELLAR
25377,HIGALPS005.3617+0.2068,5.3608130,0.20662400,20.5083,PRESTELLAR
25379,HIGALPS005.3609-0.8929,5.3608580,-0.89281600,14.0679,PRESTELLAR
25389,HIGALPS005.3632+0.2981,5.3623950,0.29901600,12.4297,PRESTELLAR
25400,HIGALPS005.3650+0.0622,5.3645340,0.061993000,9.35015,PROTOSTELLAR
25412,HIGALPS005.3686-0.7091,5.3684170,-0.70933200,7.75480,PRESTELLAR
25415,HIGALPS005.3688-0.5183,5.3687670,-0.51824300,18.4894,PRESTELLAR
25420,HIGALPS005.3702+0.4746,5.3701880,0.47465700,5.24962,PRESTELLAR
25421,HIGALPS005.3708+0.3183,5.3703260,0.31842400,72.6090,PROTOSTELLAR
25432,HIGALPS005.3724+0.2424,5.3722490,0.24164100,28.5860,PRESTELLAR
25438,HIGALPS005.3729+0.4570,5.3729610,0.45709800,2.35910,UNBOUND
25439,HIGALPS005.3727-0.0986,5.3732600,-0.098354000,20.2605,PRESTELLAR
25442,HIGALPS005.3739+0.5423,5.3743930,0.54133500,4.33843,UNBOUND
25448,HIGALPS005.3763-0.0765,5.3753260,-0.077198000,6.03107,PRESTELLAR
25455,HIGALPS005.3773-0.4013,5.3767550,-0.40177400,10.8665,PRESTELLAR
25470,HIGALPS005.3799-0.7835,5.3799540,-0.78260100,6.99872,UNBOUND
25474,HIGALPS005.3829+0.4022,5.3818470,0.40185800,4.31542,UNBOUND
25479,HIGALPS005.3831-0.8239,5.3830340,-0.82385100,5.96947,PRESTELLAR
25489,HIGALPS005.3848-0.5545,5.3844640,-0.55330000,10.2122,PRESTELLAR
25501,HIGALPS005.3884-0.1217,5.3871380,-0.12233900,13.6459,PROTOSTELLAR
25508,HIGALPS005.3884+0.1870,5.3879960,0.18815400,24.0862,PROTOSTELLAR
25510,HIGALPS005.3888-0.0594,5.3884360,-0.060310000,14.3107,PRESTELLAR
25512,HIGALPS005.3887+0.6310,5.3886410,0.63135100,2.59435,UNBOUND
25519,HIGALPS005.3906-0.2309,5.3904490,-0.23045400,4.86816,PRESTELLAR
25528,HIGALPS005.3918-0.0493,5.3918810,-0.049041000,7.68943,PRESTELLAR
25532,HIGALPS005.3921-0.4102,5.3926100,-0.41101200,25.3369,PRESTELLAR
25535,HIGALPS005.3930+0.5703,5.3929940,0.57039200,3.00191,PRESTELLAR
25542,HIGALPS005.3945-0.5852,5.3944540,-0.58514600,7.39798,PRESTELLAR
25551,HIGALPS005.3959-0.6433,5.3962060,-0.64259600,7.70621,PRESTELLAR
25552,HIGALPS005.3967+0.1022,5.3964550,0.10279200,7.55264,PRESTELLAR
25554,HIGALPS005.3972+0.1944,5.3973960,0.19468700,29.7521,PROTOSTELLAR
25559,HIGALPS005.3970+0.3211,5.3981810,0.32116900,5.91312,PRESTELLAR
25561,HIGALPS005.3991-0.2425,5.3985950,-0.24298500,14.0691,PROTOSTELLAR
25564,HIGALPS005.3984-0.4411,5.3988700,-0.44195500,6.62159,PRESTELLAR
25574,HIGALPS005.4009-0.4058,5.4008830,-0.40459400,5.84642,PRESTELLAR
25581,HIGALPS005.4028-0.2713,5.4023110,-0.27160700,16.9114,PROTOSTELLAR
25583,HIGALPS005.4037-0.0518,5.4029150,-0.051404000,5.64675,PRESTELLAR
25591,HIGALPS005.4035+0.4477,5.4041450,0.44750400,4.14554,PROTOSTELLAR
25594,HIGALPS005.4049-0.0140,5.4047990,-0.013893000,6.93485,PRESTELLAR
25595,HIGALPS005.4049-0.3009,5.4051050,-0.30042700,20.0475,PRESTELLAR
25617,HIGALPS005.4086-0.5302,5.4092880,-0.52987800,9.69848,PRESTELLAR
25625,HIGALPS005.4111+0.1872,5.4108910,0.18622900,13.1731,PRESTELLAR
25627,HIGALPS005.4111-0.3344,5.4115690,-0.33447100,10.1166,PRESTELLAR
25634,HIGALPS005.4127-0.0490,5.4138220,-0.049959000,6.80512,PRESTELLAR
25646,HIGALPS005.4158-0.2034,5.4160290,-0.20334700,11.9774,PRESTELLAR
25647,HIGALPS005.4166-0.6005,5.4160820,-0.59950800,3.85841,PRESTELLAR
25648,HIGALPS005.4162-0.6307,5.4163260,-0.63017900,8.51321,PRESTELLAR
25652,HIGALPS005.4177+0.4150,5.4176130,0.41436400,5.63903,PRESTELLAR
25662,HIGALPS005.4227-0.4033,5.4223380,-0.40333900,3.46533,PRESTELLAR
25664,HIGALPS005.4229-0.2848,5.4228660,-0.28471000,12.5791,PRESTELLAR
25678,HIGALPS005.4250-0.1950,5.4250100,-0.19452700,6.38550,PRESTELLAR
25682,HIGALPS005.4276-0.2209,5.4270100,-0.22086100,8.69116,PRESTELLAR
25686,HIGALPS005.4271-0.3439,5.4277070,-0.34373000,9.75389,PRESTELLAR
25687,HIGALPS005.4271-0.3702,5.4278060,-0.36989800,9.56820,PRESTELLAR
25688,HIGALPS005.4283-0.4563,5.4279080,-0.45520600,5.52560,PRESTELLAR
25689,HIGALPS005.4294-0.0126,5.4279610,-0.012357000,19.0691,PRESTELLAR
25698,HIGALPS005.4297-0.6181,5.4308810,-0.61754900,10.2274,PRESTELLAR
25708,HIGALPS005.4327-0.7442,5.4326720,-0.74413300,4.87998,PRESTELLAR
25709,HIGALPS005.4322-0.2573,5.4329280,-0.25753400,7.52013,PRESTELLAR
25713,HIGALPS005.4340+0.8112,5.4335440,0.81142100,1.74764,PRESTELLAR
25723,HIGALPS005.4343+0.1972,5.4349300,0.19614100,7.34517,UNBOUND
25725,HIGALPS005.4348+0.0976,5.4353780,0.097794000,6.19868,PRESTELLAR
25745,HIGALPS005.4407+0.1739,5.4401130,0.17347900,14.6771,PRESTELLAR
25752,HIGALPS005.4424+0.0141,5.4423530,0.014181000,8.03341,PRESTELLAR
25754,HIGALPS005.4425-0.2986,5.4426420,-0.29866500,25.4839,PRESTELLAR
25765,HIGALPS005.4426+0.7816,5.4440600,0.78218400,2.19749,PRESTELLAR
25767,HIGALPS005.4434-0.6640,5.4443640,-0.66338000,1.90220,PRESTELLAR
25769,HIGALPS005.4449-0.8094,5.4450970,-0.80886000,5.14401,PRESTELLAR
25770,HIGALPS005.4444-0.7368,5.4451280,-0.73686700,3.13181,PRESTELLAR
25771,HIGALPS005.4454-0.2174,5.4453220,-0.21644800,21.8093,PROTOSTELLAR
25789,HIGALPS005.4481-0.6122,5.4488030,-0.61177300,5.59323,PRESTELLAR
25793,HIGALPS005.4493-0.5914,5.4492710,-0.59131200,4.72517,PRESTELLAR
25802,HIGALPS005.4505-0.7262,5.4516800,-0.72654200,4.28857,PRESTELLAR
